--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Sat Jun 21 22:57:40 2025
--------------------------------------------------------------------------------{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375} 

{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.1875} 

{'name': '', 'pid': 72, 'username': None, 'vms': 0.16796875} 

{'name': 'Registry', 'pid': 132, 'username': None, 'vms': 10.8671875} 

{'name': 'LsaIso.exe', 'pid': 312, 'username': None, 'vms': 1.51953125} 

{'name': 'lsass.exe', 'pid': 392, 'username': None, 'vms': 11.1484375} 

{'name': 'smss.exe', 'pid': 536, 'username': None, 'vms': 1.0625} 

{'name': 'dllhost.exe', 'pid': 668, 'username': 'SIT-LT-378\\10774', 'vms': 2.9375} 

{'name': 'UserOOBEBroker.exe', 'pid': 684, 'username': 'SIT-LT-378\\10774', 'vms': 2.171875} 

{'name': 'csrss.exe', 'pid': 848, 'username': None, 'vms': 2.484375} 

{'name': 'wininit.exe', 'pid': 940, 'username': None, 'vms': 1.796875} 

{'name': 'chrome.exe', 'pid': 964, 'username': 'SIT-LT-378\\10774', 'vms': 6.69921875} 

{'name': 'services.exe', 'pid': 1012, 'username': None, 'vms': 8.12890625} 

{'name': 'svchost.exe', 'pid': 1048, 'username': None, 'vms': 2.234375} 

{'name': 'dllhost.exe', 'pid': 1056, 'username': None, 'vms': 3.33984375} 

{'name': 'svchost.exe', 'pid': 1164, 'username': None, 'vms': 18.9921875} 

{'name': 'fontdrvhost.exe', 'pid': 1184, 'username': None, 'vms': 1.90625} 

{'name': 'WUDFHost.exe', 'pid': 1244, 'username': None, 'vms': 6.36328125} 

{'name': 'svchost.exe', 'pid': 1304, 'username': None, 'vms': 1.33203125} 

{'name': 'chrome.exe', 'pid': 1308, 'username': 'SIT-LT-378\\10774', 'vms': 216.4921875} 

{'name': 'svchost.exe', 'pid': 1336, 'username': None, 'vms': 15.4375} 

{'name': 'svchost.exe', 'pid': 1388, 'username': None, 'vms': 3.1171875} 

{'name': 'svchost.exe', 'pid': 1484, 'username': None, 'vms': 3.05078125} 

{'name': 'svchost.exe', 'pid': 1492, 'username': None, 'vms': 7.16796875} 

{'name': 'svchost.exe', 'pid': 1536, 'username': None, 'vms': 1.32421875} 

{'name': 'svchost.exe', 'pid': 1624, 'username': None, 'vms': 2.97265625} 

{'name': 'WUDFHost.exe', 'pid': 1648, 'username': None, 'vms': 12.6328125} 

{'name': 'svchost.exe', 'pid': 1656, 'username': None, 'vms': 2.80078125} 

{'name': 'svchost.exe', 'pid': 1664, 'username': None, 'vms': 2.53515625} 

{'name': 'svchost.exe', 'pid': 1684, 'username': None, 'vms': 17.9140625} 

{'name': 'IntelCpHDCPSvc.exe', 'pid': 1824, 'username': None, 'vms': 1.35546875} 

{'name': 'svchost.exe', 'pid': 1840, 'username': None, 'vms': 3.0} 

{'name': 'svchost.exe', 'pid': 1868, 'username': None, 'vms': 2.83984375} 

{'name': 'svchost.exe', 'pid': 1888, 'username': None, 'vms': 3.16796875} 

{'name': 'svchost.exe', 'pid': 1952, 'username': None, 'vms': 1.73046875} 

{'name': 'svchost.exe', 'pid': 1968, 'username': None, 'vms': 2.1328125} 

{'name': 'unsecapp.exe', 'pid': 1988, 'username': None, 'vms': 4.48828125} 

{'name': 'svchost.exe', 'pid': 2088, 'username': None, 'vms': 2.53515625} 

{'name': 'svchost.exe', 'pid': 2148, 'username': None, 'vms': 2.12890625} 

{'name': 'CompPkgSrv.exe', 'pid': 2248, 'username': 'SIT-LT-378\\10774', 'vms': 1.65625} 

{'name': 'svchost.exe', 'pid': 2264, 'username': None, 'vms': 2.328125} 

{'name': 'svchost.exe', 'pid': 2276, 'username': None, 'vms': 5.6640625} 

{'name': 'svchost.exe', 'pid': 2304, 'username': None, 'vms': 6.6875} 

{'name': 'csrss.exe', 'pid': 2344, 'username': None, 'vms': 2.875} 

{'name': 'slack.exe', 'pid': 2428, 'username': 'SIT-LT-378\\10774', 'vms': 51.7578125} 

{'name': 'igfxCUIServiceN.exe', 'pid': 2432, 'username': None, 'vms': 2.40234375} 

{'name': 'svchost.exe', 'pid': 2440, 'username': None, 'vms': 3.390625} 

{'name': 'svchost.exe', 'pid': 2484, 'username': None, 'vms': 1.9765625} 

{'name': 'Code.exe', 'pid': 2608, 'username': 'SIT-LT-378\\10774', 'vms': 255.8828125} 

{'name': 'svchost.exe', 'pid': 2624, 'username': None, 'vms': 3.34375} 

{'name': 'wsc_proxy.exe', 'pid': 2632, 'username': None, 'vms': 3.19921875} 

{'name': 'svchost.exe', 'pid': 2648, 'username': None, 'vms': 6.609375} 

{'name': 'svchost.exe', 'pid': 2672, 'username': None, 'vms': 4.078125} 

{'name': 'svchost.exe', 'pid': 2680, 'username': None, 'vms': 1.4140625} 

{'name': 'svchost.exe', 'pid': 2692, 'username': None, 'vms': 15.9453125} 

{'name': 'svchost.exe', 'pid': 2704, 'username': None, 'vms': 4.98828125} 

{'name': 'svchost.exe', 'pid': 2748, 'username': None, 'vms': 3.625} 

{'name': 'svchost.exe', 'pid': 2772, 'username': None, 'vms': 4.4140625} 

{'name': 'ctfmon.exe', 'pid': 2792, 'username': 'SIT-LT-378\\10774', 'vms': 4.34375} 

{'name': 'msedgewebview2.exe', 'pid': 2856, 'username': 'SIT-LT-378\\10774', 'vms': 75.48046875} 

{'name': 'unsecapp.exe', 'pid': 2944, 'username': 'SIT-LT-378\\10774', 'vms': 1.55859375} 

{'name': 'svchost.exe', 'pid': 2972, 'username': None, 'vms': 1.62890625} 

{'name': 'MemCompression', 'pid': 2988, 'username': None, 'vms': 2.4609375} 

{'name': 'svchost.exe', 'pid': 3184, 'username': None, 'vms': 4.0} 

{'name': 'svchost.exe', 'pid': 3216, 'username': None, 'vms': 2.37109375} 

{'name': 'svchost.exe', 'pid': 3232, 'username': None, 'vms': 2.1015625} 

{'name': 'svchost.exe', 'pid': 3340, 'username': None, 'vms': 1.5625} 

{'name': 'svchost.exe', 'pid': 3400, 'username': None, 'vms': 1.8359375} 

{'name': 'svchost.exe', 'pid': 3464, 'username': None, 'vms': 12.4921875} 

{'name': 'DDVCollectorSvcApi.exe', 'pid': 3544, 'username': None, 'vms': 2.02734375} 

{'name': 'aswToolsSvc.exe', 'pid': 3588, 'username': None, 'vms': 93.87890625} 

{'name': 'svchost.exe', 'pid': 3600, 'username': None, 'vms': 1.9921875} 

{'name': 'chrome.exe', 'pid': 3660, 'username': 'SIT-LT-378\\10774', 'vms': 244.58203125} 

{'name': 'svchost.exe', 'pid': 3672, 'username': None, 'vms': 4.59765625} 

{'name': 'svchost.exe', 'pid': 3764, 'username': None, 'vms': 2.8046875} 

{'name': 'svchost.exe', 'pid': 3804, 'username': None, 'vms': 7.26171875} 

{'name': 'OneDrive.exe', 'pid': 3812, 'username': 'SIT-LT-378\\10774', 'vms': 73.6796875} 

{'name': 'svchost.exe', 'pid': 3884, 'username': None, 'vms': 3.0859375} 

{'name': 'svchost.exe', 'pid': 3896, 'username': None, 'vms': 4.9140625} 

