--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file created at : Sat Jun 21 23:03:04 2025
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}

{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.1875}

{'pid': 72, 'username': None, 'name': '', 'vms': 0.16796875}

{'pid': 132, 'username': None, 'name': 'Registry', 'vms': 11.1015625}

{'pid': 312, 'username': None, 'name': 'LsaIso.exe', 'vms': 1.51953125}

{'pid': 392, 'username': None, 'name': 'lsass.exe', 'vms': 11.1640625}

{'pid': 536, 'username': None, 'name': 'smss.exe', 'vms': 1.0625}

{'pid': 668, 'username': 'SIT-LT-378\\10774', 'name': 'dllhost.exe', 'vms': 2.9375}

{'pid': 684, 'username': 'SIT-LT-378\\10774', 'name': 'UserOOBEBroker.exe', 'vms': 2.0859375}

{'pid': 848, 'username': None, 'name': 'csrss.exe', 'vms': 2.484375}

{'pid': 940, 'username': None, 'name': 'wininit.exe', 'vms': 1.796875}

{'pid': 964, 'username': 'SIT-LT-378\\10774', 'name': 'chrome.exe', 'vms': 6.7421875}

{'pid': 1012, 'username': None, 'name': 'services.exe', 'vms': 8.3515625}

{'pid': 1048, 'username': None, 'name': 'svchost.exe', 'vms': 2.16796875}

{'pid': 1056, 'username': None, 'name': 'dllhost.exe', 'vms': 3.33984375}

{'pid': 1164, 'username': None, 'name': 'svchost.exe', 'vms': 19.34765625}

{'pid': 1184, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.90625}

{'pid': 1244, 'username': None, 'name': 'WUDFHost.exe', 'vms': 6.36328125}

{'pid': 1304, 'username': None, 'name': 'svchost.exe', 'vms': 1.33203125}

{'pid': 1308, 'username': 'SIT-LT-378\\10774', 'name': 'chrome.exe', 'vms': 215.4921875}

{'pid': 1336, 'username': None, 'name': 'svchost.exe', 'vms': 15.8125}

{'pid': 1388, 'username': None, 'name': 'svchost.exe', 'vms': 3.18359375}

{'pid': 1484, 'username': None, 'name': 'svchost.exe', 'vms': 3.05078125}

{'pid': 1492, 'username': None, 'name': 'svchost.exe', 'vms': 7.16796875}

{'pid': 1536, 'username': None, 'name': 'svchost.exe', 'vms': 1.32421875}

{'pid': 1624, 'username': None, 'name': 'svchost.exe', 'vms': 2.97265625}

{'pid': 1648, 'username': None, 'name': 'WUDFHost.exe', 'vms': 12.66015625}

{'pid': 1656, 'username': None, 'name': 'svchost.exe', 'vms': 2.80078125}

{'pid': 1664, 'username': None, 'name': 'svchost.exe', 'vms': 2.43359375}

{'pid': 1684, 'username': None, 'name': 'svchost.exe', 'vms': 18.1484375}

{'pid': 1824, 'username': None, 'name': 'IntelCpHDCPSvc.exe', 'vms': 1.35546875}

{'pid': 1840, 'username': None, 'name': 'svchost.exe', 'vms': 3.06640625}

